,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
42,,,,,adapt an existing trial procedure for explosive substances and/or articles;design a new test procedure for explosive substances and/or articles;design a new trial procedure for explosive substances and/or articles;adapt an existing test procedure for explosive substances and/or articles,,,,,,,,,,,,understand how to maintain heating and ventilation systems used in food and drink operations;understand how to maintain air conditioning and ventilation systems used in food and drink operations  ;understand how to maintain compressed air systems and equipment used in food and drink operations;understand how to maintain waste/foul water distribution systems and equipment used in food and drink operations;understand how to maintain fresh water distribution systems and equipment used in food and drink operations,,,"overhauling components of aircraft hydraulic equipment;overhauling major components of aircraft airframes;overhauling components of aircraft pneumatic, vacuum and environmental equipment;overhauling components of aircraft fuel and lubrication equipment",,,"general machining, fitting and assembly applications",preparing for rigging activities;carrying out preparations for rigging activities,
43,,,,,,,,,,,,,,,,,understand how to carry out preventative planned maintenance on instrumentation and control equipment used in food and drink operations ;understand how to carry out preventative planned maintenance on services systems and equipment used in food and drink operations,,,producing aeronautical electrical engineering drawings using computer aided techniques;producing aeronautical electronic engineering drawings using computer aided techniques,,,general electrical and electronic engineering applications,maintaining rigging and lifting equipment;carrying out maintenance on rigging and lifting equipment,
44,,,,,,,,,,,,,,,,,carry out fault diagnosis on instrumentation and control equipment and circuits used in food and drink operations,,,producing aeronautical mechanical engineering drawings using computer aided techniques;produce detailed drawings using computer aided techniques,,,general maintenance engineering applications,preparing docks and slips for vessel operations;prepare docks and slips for the receiving of boats and yachts;assisting in the preparation of docks and slips for vessel operations,
45,,,,,,,,,,,,,,,,,,,,producing aircraft composite mouldings using atl/afp laminating techniques;producing aircraft composite mouldings using resin film infusion techniques;using pre-preg laminating techniques to produce composite mouldings;using resin film infusion techniques to produce composite mouldings;producing aircraft composite mouldings using pre-preg laminating techniques;using atl/afp laminating techniques to produce composite mouldings,,,joining public service vehicle components by mechanical processes,carrying out the installation of rigging and lifting equipment;installing rigging and lifting equipment,
46,,,,,,,,,,,,,,,,,,,,trimming aircraft composite mouldings using hand tools;using hand tools to trim composite mouldings,,,assisting in the installation of wooden furniture/outfitting units for yachts and boats;assisting in the installation of wooden furniture/outfitting units in yachts and boats,preparing marine material surfaces using hand and mechanical tools;preparing yacht and boat surfaces for coating/finishing using hand and;preparing yacht and boat surfaces for painting/finishing;carrying out patch preparation of material surfaces using hand and mechanical tools,
47,,,,,,,,,,,,,,,,,,,,maintaining fuel systems on aircraft;maintaining hydraulic systems on aircraft;maintaining turbine engines on aircraft;maintaining oxygen systems on aircraft;maintaining propeller/propulsor systems on aircraft;maintaining rotor systems on rotorcraft;maintaining engine water injection systems on aircraft;maintaining auto flight systems on aircraft;maintaining flight control systems on rotorcraft;maintaining power plant on aircraft;maintaining rotor blade and tail pylon folding systems on rotorcraft;maintaining indicating and recording systems on aircraft;maintaining communication systems on aircraft;maintaining wings on aircraft;maintaining pneumatic systems on aircraft;maintaining air conditioning systems on aircraft;maintaining engine starting systems on aircraft;maintaining vacuum systems on aircraft;maintaining radar systems on aircraft;maintaining landing gear on aircraft;maintaining cabin systems on aircraft;maintaining engine exhaust systems on aircraft;maintaining lubricating oil systems on aircraft;maintaining engine indicating systems on aircraft;maintaining ice and rain protection systems on aircraft;maintaining electrical power systems on aircraft;maintaining lighting systems on aircraft;maintaining stabilisers on aircraft;maintaining equipment and furnishings on aircraft;maintaining reciprocating engine turbo-supercharging systems on aircraft;maintaining bleed air systems on aircraft;maintaining fire protection systems on aircraft;maintaining rotor drive systems on rotorcraft,,,producing components using hand fitting techniques;making components using hand tools and fitting techniques,applying marine coatings using spray methods;carrying out the application of marine coatings using spray methods;applying surface coatings to yachts and boats using spray methods;applying holding primer by spray methods,
48,,,,,,,,,,,,,,,,,,,,,,,producing mechanical assemblies;assembling mechanical components,applying yacht and boat paints/coating materials manually;applying surface coatings manually to yachts and boats;applying marine coatings manually;applying yacht and boat paints/coatings manually;carrying out the manual application of marine coatings,
49,,,,,,,,,,,,,,,,,,,,,,,"preparing and using manual metal arc welding equipment;preparing and using semi-automatic mig, mag and flux cored arc welding equipment;using semi-automatic mig or mag welding equipment;using manual oxy-fuel gas welding equipment;using manual metal arc welding equipment;using manual tig welding equipment;preparing and using manual tig or plasma-arc welding equipment",installing marine navigational equipment and systems;installing marine communication equipment and systems,
50,,,,,,,,,,,,,,,,,,,,,,,applying heat treatment to engineering materials;carrying out heat treatment of engineering materials,"setting to work, testing and trialling marine electrical power generation and distribution equipment and systems;setting to work, testing and trialling marine electrical rotating machines and domestic equipment",
51,,,,,,,,,,,,,,,,,,,,,,,preparing and using cnc milling machines;preparing and using cnc turning machines;preparing and using cnc machining centres,"setting to work, testing and trialling marine computer equipment and systems;setting to work, testing and trialling marine navigational equipment and systems",
52,,,,,,,,,,,,,,,,,,,,,,,fitting sub assemblies and components to public service vehicles;assembling structural sub assemblies to produce a public service vehicle,"setting to work, testing and trialling marine lighting, alarm, detection and monitoring equipment and systems;setting to work, testing and trialling marine weapons equipment and systems",
53,,,,,,,,,,,,,,,,,,,,,,,,"maintaining marine electrical rotating machines and domestic equipment;maintaining marine navigational equipment and systems;maintaining marine computer equipment and systems;maintaining marine lighting, alarm, detection and monitoring equipment and systems;maintaining electronic equipment in yachts and boats;maintaining marine electrical power generation and distribution equipment and systems;maintaining marine communication equipment and systems;maintaining marine sensor equipment and systems",
54,,,,,,,,,,,,,,,,,,,,,,,,overhauling electrical marine rotating machines and domestic equipment;overhauling and repairing marine electrical rotating machines and domestic equipment,
55,,,,,,,,,,,,,,,,,,,,,,,,siting and levelling for the assembly of marine structures;assembling sub-assemblies and components to produce major marine structural assemblies,
56,,,,,,,,,,,,,,,,,,,,,,,,installing sponson assemblies onto the rigid inflatable boat (rib);installing skirting assemblies onto the hovercraft;installing marine wooden components;installing wooden furniture/outfitting units in yachts and boats;installing marine outfitting components and assemblies,
