,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
153,"life, pensions and investments",pension scheme administration,pension scheme trusteeship,pension trustee board secretaryship,secretary to the trustees of pension funds,trustee and management committee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,providing advice on securities or derivatives in the non retail market,providing advice on securities or derivatives in the retail market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,investment operations,investment strategy and management,providing financial advice and financial planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,general insurance,general takaful,insurance technicians supervisors,london market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,creative media generic skills,stagehands in film and tv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,facilities management for senior managers,residential block management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,administration of local revenues and benefits,carry and deliver goods,credit management,customer payments for financial products and services,production accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,anti money laundering,financing and credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,bank accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,craft,craft generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,craft blacksmithing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,music business collecting societies,music business publishing,music business record labels,music performers and composers,radio content creation,radio content creation nos 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,journalism,law and compliance for broadcasting,publishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,directors,production film and tv,senior producers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,health and safety unit,physical special effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,digital production skills,editing,post production,sound,sound production film and tv,sound recording and music technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,animation,visual effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,camera,camera 2007,grip,grips and crane technicians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,design for the moving image,events management,live events and promotions management,props,technical theatre and live performance core,technical theatre and live performance sound and lighting,technical theatre and live performance stage management,technical theatre and live performance workshop,"technical theatre and live production stage, sound, lighting and visuals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,lighting for film and tv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,technical theatre and live performance automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,health informatics,training and competence schemes for the financial sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,governance of public sector services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,company secretary,empty,governance nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,governance of risk 2013,public relations 2013,risk management 2014,risk management for the financial sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,international trade and logistics operations,international trade and logistics operations higher level suite,logistics operations,transport planning,transport planning technical support,warehousing and storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,business and enterprise support 2013,business enterprise,pre enterprise,understanding enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,enterprise nos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,land based operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,fundraising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,management of volunteers 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,cctv operations,cctv strategic and operational management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,immersive technology,interactive media and computer games,operational delivery,security co ordinators,security management,security risk advisers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,human identity and biometrics,information security,it and telecoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,technical surveillance counter measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,balanced sourcing and new product development,technical textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,manufacturing textile products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,nos for it professional,procurement and supply,"town planning, conservation and building control management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,packaging,packing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,production design,"technical theatre and live events stage, sound and lighting",textiles and material design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,fitted furniture installation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,business improvement techniques suite 2,business improvement techniques suite 2 2008,business improvement techniques suite 3 2008,business improvement techniques suite 4,business improvement techniques suite 5 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,engaging employers,"nos for the development, implementation and review of nos",policy delivery public services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,advertising sales,commissioning in the public sector,design,expedition leadership and management,management and business consultancy nos 2009,management and leadership,management and leadership national occupational standards 2008,marketing,marketing 2013,marketing and sales standards for non specialists,marketing communications advertising,nos for operational delivery contact centre roles,nos for operational delivery processing roles,outdoor sector senior roles,professional skills for government psg,sales,sales 2010,sales 2013,social marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,branch management and business and customer commercial relationship management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,events management and temporary structures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,community arts,delivery of arts projects and live events,freelancing in the creative and cultural industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,archaeological practice,asbestos,asbestos surveying and analysis,building information modelling,building services engineering technology and project management,built environment design,built environment design and consultancy practice,built environment design management,business and administration 2010,construction contracting operations,construction contracting operations management,construction senior management,cultural heritage,development worker,electrotechnical services electrotechnical technology and project management,emergency fire services management,environmental technology systems and equipment,facilities management level 4,industrial design,integrated logistic support ils management suite 4 2003,local government skills,managing in road passenger transport,"project control, estimating, planning and cost engineering",project management,research and development,resettlement of offenders,security consultancy,site inspection,surface mineral development,"surveying, property maintenance 2010","surveying, property maintenance and valuation","town planning, conservation and building control",valuation of residential property for secured lending,,,,,,,,,,,,,,,
201,independent travel training,travel and tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,business and administration 2013,self administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,cultural venue operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,ticketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,spectator safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,optical manufacturing,optical retailing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,accountancy and finance,business link gateway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,hire and leasing,independent retailers,retail,retail buying,retail merchandising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,multi channel retailing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,debt collections,enforcement agents previously private bailiffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,armourers,public services,public services revised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,financial services core competences,financial services customer care,fire and rescue sector control operations,remote monitoring operations,utilities control centre operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,cleaning and support services generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,business and administration specialist parking administration 2013,caseworkers in the justice sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,parking sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,custodial administration,cynnwys y dysgwr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,health and safety,nuclear regulators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,legal administration 2010,providing legal services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,courts and tribunals,"courts, tribunals and prosecution",legal advice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,environmental conservation,offshore surveying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,land based engineering operations,land registration,local land charges and property information,local land charges and property information 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,event security operations,nos for air observers,providing close protection,security and loss prevention,security search operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,forensic science,technical support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,fire investigation,inspection of public sector services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,countering cybercrime,countering e crime,intelligence analysis,investigations,investigations 2010,policing and law enforcement,policing and law enforcement c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,countering financial crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,electoral services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,mechanical ride operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
