,Developed By,NOS Title,Suite,SuiteMetadata,Occupations,OccupationsMetadata,Name,Validity,Indicative Review Date,NOS Document Status,URN,SOC Code,NOSCategory,Keywords,Original URN,Created,Modified,Item Type,Path
1637,energy & utility skills,install gas water heating and wet central heating ,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.3.pdf,current,2021-12-01 00:00:00,original,eusdsg3.3,5314,jobspecific,"install, installation, gas, water, heating, wet central heating, utility, utilities, commissioning, commission",dsg 3.3,2018-02-12 11:51:38,2019-03-21 11:34:38,item,publishednos-old
1172,energy & utility skills,maintain gas water heating and wet central heating appliances,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.4.pdf,current,2021-12-01 00:00:00,original,eusdsg3.4,,,"maintain, maintenance, gas, water, heating, wet central heating, utility, utilities",dsg 3.4,2018-10-05 16:04:14,2018-10-05 16:04:14,item,publishednos
1636,energy & utility skills,maintain gas water heating and wet central heating appliances,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.4.pdf,current,2021-12-01 00:00:00,original,eusdsg3.4,5314,jobspecific,"maintain, maintenance, gas, water, heating, wet central heating, utility, utilities",dsg 3.4,2018-02-12 11:51:42,2019-03-21 11:39:06,item,publishednos-old
1171,energy & utility skills,install gas pipework up to 35mm,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.5.pdf,current,2021-12-01 00:00:00,original,eusdsg3.5,,,"install, installation, gas, pipework, 35mm, utility, utilities",dsg 3.5,2018-10-05 16:04:16,2018-10-05 16:04:16,item,publishednos
1635,energy & utility skills,install gas pipework up to 35mm,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.5.pdf,current,2021-12-01 00:00:00,original,eusdsg3.5,5314,core,"install, installation, gas, pipework, 35mm, utility, utilities",dsg 3.5,2018-02-12 11:51:44,2019-03-21 11:41:58,item,publishednos-old
1170,energy & utility skills,gas tightness testing and direct purging ,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.6.pdf,current,2021-12-01 00:00:00,original,eusdsg3.6,,,"gas, tightness, testing, direct, purging, utility, utilities",dsg 3.6,2018-10-05 16:04:17,2018-10-05 16:04:17,item,publishednos
1634,energy & utility skills,gas tightness testing and direct purging ,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.6.pdf,current,2021-12-01 00:00:00,original,eusdsg3.6,5314,core,"gas, tightness, testing, direct, purging, utility, utilities",dsg 3.6,2018-02-12 11:51:47,2019-03-21 11:42:32,item,publishednos-old
1169,energy & utility skills,install domestic gas space heating appliances,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.7.pdf,current,2021-12-01 00:00:00,original,eusdsg3.7,,,"install, installation, domestic, gas, space, space heating, heating appliances, utility, utilities",dsg 3.7,2018-10-05 16:04:19,2018-10-05 16:04:20,item,publishednos
1633,energy & utility skills,install domestic gas space heating appliances,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.7.pdf,current,2021-12-01 00:00:00,original,eusdsg3.7,5314,jobspecific,"install, installation, domestic, gas, space, space heating, heating appliances, utility, utilities",dsg 3.7,2018-02-12 11:51:50,2019-03-21 11:42:59,item,publishednos-old
1168,energy & utility skills,maintain domestic gas space heating appliances,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.8.pdf,current,2021-12-01 00:00:00,original,eusdsg3.8,,,"install, installation, domestic, gas, space, space heating, heating appliances, utility, utilities",dsg 3.8,2018-10-05 16:04:20,2018-10-05 16:04:20,item,publishednos
