Skill name,Skill cluster
liaise crop grower,driving and automotive maintenance
horse rid equipment,driving and automotive maintenance
carry objects,driving and automotive maintenance
automated clearing house,driving and automotive maintenance
attend vehicle auction,driving and automotive maintenance
accommodate special seating,driving and automotive maintenance
ensure train stability load,driving and automotive maintenance
switchover,driving and automotive maintenance
operate jar mill,driving and automotive maintenance
live animal product,driving and automotive maintenance
scrap metal,driving and automotive maintenance
conditioner farm,driving and automotive maintenance
process incoming construction supplies,driving and automotive maintenance
car cleaning procedure,driving and automotive maintenance
bicycle mechanic,driving and automotive maintenance
pallet rack,driving and automotive maintenance
flatbeds,driving and automotive maintenance
manufacture fabric,driving and automotive maintenance
purchase automotive equipment,driving and automotive maintenance
prepare bakery product,driving and automotive maintenance
carry out repair of motorcycles,driving and automotive maintenance
ensure maintenance of railway machinery,driving and automotive maintenance
harvest grape,driving and automotive maintenance
operate precision machinery,driving and automotive maintenance
perform packing of footwear and leather goods,driving and automotive maintenance
maintain gas mileage records,driving and automotive maintenance
leather product maintenance,driving and automotive maintenance
trade jewellery,driving and automotive maintenance
make farrier tools and supplies,driving and automotive maintenance
tend dairy processing machines,driving and automotive maintenance
tend vines,driving and automotive maintenance
lift trucks,driving and automotive maintenance
instruct rigger assembly circus rig equipment,driving and automotive maintenance
tend cocoa clean machine,driving and automotive maintenance
yard work,driving and automotive maintenance
rescue bather,driving and automotive maintenance
repair stuff animal,driving and automotive maintenance
operate surveying instruments,driving and automotive maintenance
dampen,driving and automotive maintenance
punch cable,driving and automotive maintenance
manage cattle breeding,driving and automotive maintenance
maintenance repair operations mro,driving and automotive maintenance
adjust sport equipment,driving and automotive maintenance
repair rotate equipment,driving and automotive maintenance
emergency vehicle operations,driving and automotive maintenance
slaughter animal,driving and automotive maintenance
tend vine,driving and automotive maintenance
maintain irrigation controllers,driving and automotive maintenance
repair toy,driving and automotive maintenance
keep sawing equipment in good condition,driving and automotive maintenance
fix minor vehicle scratch,driving and automotive maintenance
operate ship rescue machinery,driving and automotive maintenance
perform maintenance locomotive,driving and automotive maintenance
load picked fruits and vegetables,driving and automotive maintenance
manage removal of disabled aircraft,driving and automotive maintenance
maintain vessel steering mechanisms,driving and automotive maintenance
stop speeding vehicle,driving and automotive maintenance
dispose of dead animals,driving and automotive maintenance
report mine machinery repairs,driving and automotive maintenance
set up photographic equipment,driving and automotive maintenance
electronic funds transfer,driving and automotive maintenance
tow a tractor implement using the power take-off,driving and automotive maintenance
locomotive engineering,driving and automotive maintenance
electric bicycles,driving and automotive maintenance
check vehicle part delivery,driving and automotive maintenance
perform loading and unloading operations,driving and automotive maintenance
postman,driving and automotive maintenance
catch poultry farm,driving and automotive maintenance
operate bulldozer,driving and automotive maintenance
manufacture woven fabrics,driving and automotive maintenance
monitor lift shaft construction,driving and automotive maintenance
handle harvest fish,driving and automotive maintenance
check train engines,driving and automotive maintenance
operate wine pump,driving and automotive maintenance
maintain flying harnesses,driving and automotive maintenance
automate clearing house,driving and automotive maintenance
liaise with crop growers,driving and automotive maintenance
agricultural commodity,driving and automotive maintenance
prepare load unload dangerous goods vehicle,driving and automotive maintenance
snowplow,driving and automotive maintenance
inspect asphalt,driving and automotive maintenance
vehicle track systems,driving and automotive maintenance
overhead crane operation,driving and automotive maintenance
tend dairy processing machine,driving and automotive maintenance
direct rig equipment operator,driving and automotive maintenance
programming language one pl/i,driving and automotive maintenance
check tickets throughout carriages,driving and automotive maintenance
operate motorise street sweeping machine,driving and automotive maintenance
bullhorn,driving and automotive maintenance
measure fruit vegetable,driving and automotive maintenance
organise aircraft maintenance,driving and automotive maintenance
guide ship dock,driving and automotive maintenance
park vehicle depot,driving and automotive maintenance
ship ups,driving and automotive maintenance
maintain soap production equipment,driving and automotive maintenance
tire balancing,driving and automotive maintenance
repair windshield wiper,driving and automotive maintenance
catch poultry,driving and automotive maintenance
electronic jamming,driving and automotive maintenance
repair firearms,driving and automotive maintenance
use fishing vessel equipment,driving and automotive maintenance
lop tree,driving and automotive maintenance
perform repairs on bicycles,driving and automotive maintenance
operate road roller,driving and automotive maintenance
polish clay product,driving and automotive maintenance
use snow-removal equipment,driving and automotive maintenance
maintain gardening equipment,driving and automotive maintenance
repair sailing equipment,driving and automotive maintenance
operate dairy farm,driving and automotive maintenance
watchware repair shop,driving and automotive maintenance
collect broken appliance,driving and automotive maintenance
use lift bag,driving and automotive maintenance
perform farm equipment hygiene,driving and automotive maintenance
cropman,driving and automotive maintenance
cattleworks,driving and automotive maintenance
drive vehicles in processions,driving and automotive maintenance
help prepare lifeboats,driving and automotive maintenance
maintain furniture machinery,driving and automotive maintenance
trash pickup,driving and automotive maintenance
printing materials,driving and automotive maintenance
lift heavy weight,driving and automotive maintenance
wash bicycles,driving and automotive maintenance
transportation vehicles for horses,driving and automotive maintenance
perform dusting activity,driving and automotive maintenance
tend bakery ovens,driving and automotive maintenance
operate rig motor,driving and automotive maintenance
install vehicle accessories,driving and automotive maintenance
wash vehicle,driving and automotive maintenance
store kitchen supplies,driving and automotive maintenance
purchase fruits and vegetables,driving and automotive maintenance
grade wheat for milling,driving and automotive maintenance
operate armour fighting vehicle,driving and automotive maintenance
operate forklift,driving and automotive maintenance
hair products,driving and automotive maintenance
operate grease gun,driving and automotive maintenance
photo mechanic,driving and automotive maintenance
inspect agricultural field,driving and automotive maintenance
prepare bread products,driving and automotive maintenance
unload supplies,driving and automotive maintenance
car spot positioning,driving and automotive maintenance
sort tobacco leaf,driving and automotive maintenance
trackum repair manager,driving and automotive maintenance
perform vessel maintenance cleaning,driving and automotive maintenance
showroom displays,driving and automotive maintenance
operate video equipment,driving and automotive maintenance
collect dead fish,driving and automotive maintenance
coordinate automotive repair maintenance service,driving and automotive maintenance
dry goods,driving and automotive maintenance
variety cheese,driving and automotive maintenance
inspect freight,driving and automotive maintenance
equipment ordering,driving and automotive maintenance
cut tobacco leaf,driving and automotive maintenance
heavy large goods vehicle driving,driving and automotive maintenance
perform minor repair equipment,driving and automotive maintenance
direct rigging equipment operators,driving and automotive maintenance
forklift safety,driving and automotive maintenance
use lift bags,driving and automotive maintenance
keep machines oiled for steady functioning,driving and automotive maintenance
handle equipment while suspended,driving and automotive maintenance
operate slaughterhouse equipment,driving and automotive maintenance
set up crane,driving and automotive maintenance
keep machine oil steady functioning,driving and automotive maintenance
tires,driving and automotive maintenance
evacuate people from heights,driving and automotive maintenance
polish clay products,driving and automotive maintenance
carry out repair of vehicles,driving and automotive maintenance
perform vessel maintenance and cleaning,driving and automotive maintenance
operate fish capture equipment,driving and automotive maintenance
maintain tanks,driving and automotive maintenance
conduct routine machinery check,driving and automotive maintenance
handle dangerous goods,driving and automotive maintenance
custom broking,driving and automotive maintenance
sell amusement park tickets,driving and automotive maintenance
repair electric bicycle,driving and automotive maintenance
maintain sort equipment,driving and automotive maintenance
operate wash plant,driving and automotive maintenance
operate paper bag machine,driving and automotive maintenance
prepare bakery products,driving and automotive maintenance
tend bakery oven,driving and automotive maintenance
guide crane,driving and automotive maintenance
operate furnace,driving and automotive maintenance
organise shearing,driving and automotive maintenance
health and safety standards,driving and automotive maintenance
sell amusement park ticket,driving and automotive maintenance
suspend animal,driving and automotive maintenance
automotive repair,driving and automotive maintenance
mechanical mine machinery manuals,driving and automotive maintenance
install vessel's safety equipment,driving and automotive maintenance
make farrier tool supply,driving and automotive maintenance
brush equipment,driving and automotive maintenance
operate a range of underground mining equipment,driving and automotive maintenance
air handler,driving and automotive maintenance
farm property,driving and automotive maintenance
repair toys,driving and automotive maintenance
repair windshield wipers,driving and automotive maintenance
install vehicle accessory,driving and automotive maintenance
drive agricultural machines,driving and automotive maintenance
harvest mulberry leaf,driving and automotive maintenance
operate testbeds,driving and automotive maintenance
train employees,driving and automotive maintenance
sell ammunition,driving and automotive maintenance
operate wrecking ball,driving and automotive maintenance
operate towtruck,driving and automotive maintenance
use aquaculture heavy equipment,driving and automotive maintenance
perform minor repairs to equipment,driving and automotive maintenance
operate explosives production equipment,driving and automotive maintenance
operate pulper,driving and automotive maintenance
operate surveying instrument,driving and automotive maintenance
maintain ropes,driving and automotive maintenance
axles,driving and automotive maintenance
repair firearm,driving and automotive maintenance
monitor vehicle maintenance activity,driving and automotive maintenance
inspect engine rooms,driving and automotive maintenance
raisin grapes,driving and automotive maintenance
trade in jewellery,driving and automotive maintenance
carry out maintenance on cage equipment and machinery,driving and automotive maintenance
repair clock,driving and automotive maintenance
maintain cleaning equipment,driving and automotive maintenance
car cleaning procedures,driving and automotive maintenance
transportation vehicle horse,driving and automotive maintenance
repair aircraft s body,driving and automotive maintenance
monitor sports equipment,driving and automotive maintenance
parallel park vehicles,driving and automotive maintenance
use rigging tool,driving and automotive maintenance
operate brick oven,driving and automotive maintenance
roasting coffee,driving and automotive maintenance
motor oil,driving and automotive maintenance
schedule hatchery supplies,driving and automotive maintenance
ingredients for beer production,driving and automotive maintenance
lifting operations and lifting equipment regulations,driving and automotive maintenance
process incoming construction supply,driving and automotive maintenance
repair equipment site,driving and automotive maintenance
move rigging equipment,driving and automotive maintenance
test lift operation,driving and automotive maintenance
slaughter animals,driving and automotive maintenance
select livestock,driving and automotive maintenance
manufacture carpet,driving and automotive maintenance
collect broken appliances,driving and automotive maintenance
operate agricultural machinery,driving and automotive maintenance
pasteurization,driving and automotive maintenance
repair rotating equipment,driving and automotive maintenance
maintenance ammunition,driving and automotive maintenance
select fruit vegetable,driving and automotive maintenance
fasten rubber goods,driving and automotive maintenance
perform packing footwear leather goods,driving and automotive maintenance
load cargo,driving and automotive maintenance
replace knives,driving and automotive maintenance
landing helicopter dock (lhd),driving and automotive maintenance
raisin grape,driving and automotive maintenance
train gun dog,driving and automotive maintenance
load timber skidder,driving and automotive maintenance
drive mobile heavy construction equipment,driving and automotive maintenance
operate rig motors,driving and automotive maintenance
check dive equipment,driving and automotive maintenance
engine swap,driving and automotive maintenance
field artillery,driving and automotive maintenance
perform street clean manually,driving and automotive maintenance
articulate hauler,driving and automotive maintenance
carry out chassis modifications,driving and automotive maintenance
malt brew ingredient,driving and automotive maintenance
load pick fruit vegetable,driving and automotive maintenance
cut tobacco leaves,driving and automotive maintenance
carry out checks of production plant equipment,driving and automotive maintenance
use ballasts,driving and automotive maintenance
adjust surveying equipment,driving and automotive maintenance
load animals for transportation,driving and automotive maintenance
use landscape service equipment,driving and automotive maintenance
perform routine maintenance ship engine,driving and automotive maintenance
monitor kitchen supplies,driving and automotive maintenance
perform tram equipment checks,driving and automotive maintenance
boxcar,driving and automotive maintenance
manure spreader,driving and automotive maintenance
maintain circus rig equipment,driving and automotive maintenance
move animals,driving and automotive maintenance
restore musical instruments,driving and automotive maintenance
prevent domestic accidents,driving and automotive maintenance
sell footwear and leather goods,driving and automotive maintenance
supervise cage net systems,driving and automotive maintenance
maintain rigging equipment,driving and automotive maintenance
clean foul,driving and automotive maintenance
operate fish processing equipment,driving and automotive maintenance
operate stowage programmes,driving and automotive maintenance
restore antique clocks,driving and automotive maintenance
maintain vessel steer mechanism,driving and automotive maintenance
serve beers,driving and automotive maintenance
herbicides,driving and automotive maintenance
train cleaning procedure,driving and automotive maintenance
engine problems,driving and automotive maintenance
report mine machinery repair,driving and automotive maintenance
ewise electronic fund transfer,driving and automotive maintenance
change keg,driving and automotive maintenance
small arm master gunner,driving and automotive maintenance
maintenance footwear manufacturing machine,driving and automotive maintenance
buy grocery,driving and automotive maintenance
stuff toys,driving and automotive maintenance
tend to passenger belongings,driving and automotive maintenance
manage pig breeding,driving and automotive maintenance
buy groceries,driving and automotive maintenance
handle carrier,driving and automotive maintenance
monitor flour unloading equipment,driving and automotive maintenance
engineyard,driving and automotive maintenance
tank truck,driving and automotive maintenance
braising (cooking),driving and automotive maintenance
repair small damage windshield,driving and automotive maintenance
farrier industry,driving and automotive maintenance
refurbish facility,driving and automotive maintenance
haul truck,driving and automotive maintenance
maintenance of footwear manufacturing machines,driving and automotive maintenance
dampening,driving and automotive maintenance
parallel park vehicle,driving and automotive maintenance
operate excavator,driving and automotive maintenance
clean off fouling,driving and automotive maintenance
schedule regular machine maintenance,driving and automotive maintenance
carry repair maintenance vehicle body,driving and automotive maintenance
store raw milk,driving and automotive maintenance
wreck dive,driving and automotive maintenance
sporting equipment usage,driving and automotive maintenance
repair sail equipment,driving and automotive maintenance
operate varnish production equipment,driving and automotive maintenance
maintain aquaculture cage equipment,driving and automotive maintenance
harvest grapes,driving and automotive maintenance
perform general maintenance ship exterior,driving and automotive maintenance
watchman,driving and automotive maintenance
perform tram equipment check,driving and automotive maintenance
mortiser,driving and automotive maintenance
carry out routine maintenance of wood cutting machinery,driving and automotive maintenance
haul trucks,driving and automotive maintenance
traffic shaper,driving and automotive maintenance
ewise (electronic funds transfer),driving and automotive maintenance
register deed,driving and automotive maintenance
forklift operation,driving and automotive maintenance
tire changer,driving and automotive maintenance
carry maintenance cage equipment machinery,driving and automotive maintenance
organise fire station,driving and automotive maintenance
mechanical almond processing,driving and automotive maintenance
operate digging construction equipment,driving and automotive maintenance
types of tyres,driving and automotive maintenance
sell fish seafood,driving and automotive maintenance
